,Time,Power
342,20180117_1,104.0
343,20180117_2,97.40799999999581
344,20180117_3,97.28000000002794
345,20180117_4,88.54399999999441
346,20180117_5,96.7039999999688
347,20180117_6,92.73600000003353
348,20180117_7,92.67199999996228
349,20180117_8,181.0560000000405
350,20180117_9,187.1359999999986
351,20180117_10,199.4560000000056
352,20180117_11,215.359999999986
353,20180117_12,220.2559999999939
354,20180117_13,223.4560000000056
355,20180117_14,233.5359999999637
356,20180117_15,246.4000000000233
357,20180117_16,243.2000000000116
358,20180117_17,194.8159999999916
359,20180117_18,143.8400000000256
360,20180117_19,232.7679999999818
361,20180117_20,232.3520000000135
362,20180117_21,224.4479999999749
363,20180117_22,213.8560000000289
364,20180117_23,203.295999999973
365,20180118_0,111.4880000000121
366,20180118_1,108.9599999999627
367,20180118_2,100.8640000000014
368,20180118_3,97.82400000002235
369,20180118_4,94.01600000000326
370,20180118_5,96.47999999998137
371,20180118_6,100.0320000000065
372,20180118_7,97.9199999999837
373,20180118_8,194.1440000000293
374,20180118_9,200.0960000000196
375,20180118_10,216.3839999999618
376,20180118_11,224.704000000027
377,20180118_12,223.295999999973
378,20180118_13,222.0800000000163
379,20180118_14,233.9199999999837
380,20180118_15,227.1680000000051
381,20180118_16,227.5840000000317
382,20180118_17,173.8239999999641
383,20180118_18,113.8240000000224
384,20180118_19,212.1599999999744
385,20180118_20,220.3520000000135
386,20180118_22,210.2399999999907
387,20180118_23,198.8159999999916
388,20180119_0,105.7920000000158
389,20180119_1,98.46399999997811
390,20180119_2,93.5680000000284
391,20180119_3,91.45600000000559
392,20180119_4,93.63199999998324
393,20180119_5,93.63199999998324
394,20180119_6,95.77600000001257
395,20180119_7,91.87200000003213
396,20180119_8,192.6079999999492
397,20180119_9,194.4320000000298
398,20180119_10,201.3439999999828
399,20180119_11,204.064000000013
400,20180119_12,205.8240000000224
401,20180119_13,214.335999999952
402,20180119_14,218.6880000000237
403,20180119_15,0.0
404,20180119_16,0.0
405,20180119_17,171.4880000000121
406,20180119_18,114.2719999999972
407,20180119_19,208.320000000007
408,20180119_20,209.1199999999953
409,20180119_22,205.3759999999893
410,20180120_0,100.4480000000331
411,20180120_2,95.96800000005169
412,20180120_3,94.11199999996461
413,20180120_4,89.2160000000149
414,20180120_6,94.0800000000163
415,20180120_7,97.95199999999022
416,20180120_8,192.2240000000456
417,20180120_10,216.2880000000005
418,20180120_11,214.1439999999711
419,20180120_12,200.1920000000391
420,20180120_13,204.3519999999553
421,20180120_14,217.2800000000279
422,20180120_15,221.4079999999958
423,20180120_16,225.8879999999772
424,20180120_17,177.9200000000419
425,20180120_18,120.2880000000005
426,20180120_19,205.1520000000019
427,20180120_20,207.4879999999539
428,20180120_21,213.3760000000475
429,20180120_22,221.5039999999572
430,20180120_23,208.4160000000265
431,20180121_0,109.4400000000023
432,20180121_1,103.7440000000061
433,20180121_2,102.0160000000033
434,20180121_4,102.6560000000172
435,20180121_5,105.7599999999511
436,20180121_6,101.4720000000088
437,20180121_8,99.16800000000512
438,20180121_9,103.359999999986
439,20180121_10,106.1759999999776
440,20180121_11,99.23200000001816
441,20180121_12,98.36800000001676
442,20180121_13,102.7839999999851
443,20180121_14,104.4479999999749
