,date_time,power,temp,hum,wind,sun,prec,day,month,week,holiday,sin_time,cos_time,THI
106,2018-01-06 02:00:00,113.3760000000184,-1.9,75.0,1.3,0.0,0.0,5,1,1,1,0.49999999999999994,0.8660254037844387,13.592500000000001
107,2018-01-06 03:00:00,112.9759999999951,-2.7,78.0,1.1,0.0,0.0,5,1,1,1,0.7071067811865476,0.7071067811865476,13.2976
108,2018-01-06 04:00:00,113.1039999999921,-3.5,82.0,1.3,0.0,0.0,5,1,1,1,0.8660254037844386,0.5000000000000001,13.661599999999996
109,2018-01-06 05:00:00,114.7999999999884,-3.6,81.0,1.3,0.0,0.0,5,1,1,1,0.9659258262890683,0.25881904510252074,13.000900000000001
110,2018-01-06 06:00:00,122.0480000000098,-4.2,80.0,0.3,0.0,0.0,5,1,1,1,1.0,6.123233995736766e-17,11.46
111,2018-01-06 07:00:00,116.3680000000168,-4.4,83.0,1.2,0.0,0.0,5,1,1,1,0.9659258262890683,-0.25881904510252063,12.542099999999994
112,2018-01-06 08:00:00,200.0959999999905,-4.9,84.0,0.7,0.0,0.0,5,1,1,1,0.8660254037844387,-0.4999999999999998,12.162399999999995
113,2018-01-06 09:00:00,208.4640000000072,-4.1,83.0,0.5,0.9,0.0,5,1,1,1,0.7071067811865476,-0.7071067811865475,13.082099999999997
114,2018-01-06 10:00:00,219.6319999999832,-1.2,75.0,0.9,1.0,0.0,5,1,1,1,0.49999999999999994,-0.8660254037844387,14.8525
115,2018-01-06 11:00:00,227.0240000000049,1.0,59.0,0.8,1.0,0.0,5,1,1,1,0.258819045102521,-0.9659258262890682,15.714899999999997
116,2018-01-06 12:00:00,231.7440000000061,2.4,53.0,1.3,1.0,0.0,5,1,1,1,1.2246467991473532e-16,-1.0,18.3801
117,2018-01-06 13:00:00,234.127999999997,3.5,46.0,1.7,1.0,0.0,5,1,1,1,-0.2588190451025208,-0.9659258262890683,21.4304
118,2018-01-06 14:00:00,233.2799999999988,4.4,44.0,1.7,1.0,0.0,5,1,1,1,-0.4999999999999997,-0.8660254037844388,23.534399999999998
120,2018-01-06 16:00:00,244.8799999999756,4.7,43.0,1.9,1.0,0.0,5,1,1,1,-0.8660254037844385,-0.5000000000000004,24.346099999999996
121,2018-01-06 17:00:00,183.9360000000161,3.3,46.0,0.8,0.8,0.0,5,1,1,1,-0.9659258262890683,-0.25881904510252063,21.0704
122,2018-01-06 18:00:00,136.0320000000065,1.6,47.0,1.1,0.0,0.0,5,1,1,1,-1.0,-1.8369701987210297e-16,17.798099999999998
123,2018-01-06 19:00:00,227.5039999999863,0.4,52.0,0.6,0.0,0.0,5,1,1,1,-0.9659258262890684,0.2588190451025203,14.873599999999996
124,2018-01-06 20:00:00,217.5359999999928,-0.4,55.0,0.4,0.0,0.0,5,1,1,1,-0.8660254037844386,0.5000000000000001,13.212500000000002
125,2018-01-06 21:00:00,219.3440000000119,-1.2,61.0,1.2,0.0,0.0,5,1,1,1,-0.7071067811865477,0.7071067811865474,11.864899999999999
126,2018-01-06 22:00:00,213.2000000000116,-1.9,64.0,0.6,0.0,0.0,5,1,1,1,-0.5000000000000004,0.8660254037844384,10.918399999999998
127,2018-01-06 23:00:00,203.0719999999856,-2.6,66.0,0.7,0.0,0.0,5,1,1,1,-0.25881904510252157,0.9659258262890681,9.9664
128,2018-01-07 00:00:00,110.3679999999877,-3.1,69.0,0.9,0.0,0.0,6,1,1,1,0.0,1.0,9.676899999999996
129,2018-01-07 01:00:00,102.5440000000235,-3.3,71.0,0.8,0.0,0.0,6,1,1,1,0.25881904510252074,0.9659258262890683,9.822899999999997
130,2018-01-07 02:00:00,99.67999999999302,-4.2,75.0,0.8,0.0,0.0,6,1,1,1,0.49999999999999994,0.8660254037844387,9.4525
131,2018-01-07 03:00:00,100.7200000000012,-4.6,78.0,1.1,0.0,0.0,6,1,1,1,0.7071067811865476,0.7071067811865476,9.877600000000001
132,2018-01-07 04:00:00,98.60800000000745,-5.2,80.0,0.4,0.0,0.0,6,1,1,1,0.8660254037844386,0.5000000000000001,9.66
133,2018-01-07 05:00:00,96.36799999998766,-5.8,82.0,0.5,0.0,0.0,6,1,1,1,0.9659258262890683,0.25881904510252074,9.5216
134,2018-01-07 06:00:00,98.22399999998743,-6.1,85.0,0.3,0.0,0.0,6,1,1,1,1.0,6.123233995736766e-17,10.542499999999997
135,2018-01-07 07:00:00,94.49600000001374,-6.4,86.0,1.1,0.0,0.0,6,1,1,1,0.9659258262890683,-0.25881904510252063,10.562399999999997
136,2018-01-07 08:00:00,96.97599999999511,-6.6,89.0,1.2,0.0,0.0,6,1,1,1,0.8660254037844387,-0.4999999999999998,12.000900000000001
137,2018-01-07 09:00:00,92.83199999999488,-5.5,89.0,0.7,0.5,0.0,6,1,1,1,0.7071067811865476,-0.7071067811865475,13.980899999999998
138,2018-01-07 10:00:00,108.2400000000198,-3.8,83.0,1.0,0.0,0.0,6,1,1,1,0.49999999999999994,-0.8660254037844387,13.622099999999996
139,2018-01-07 11:00:00,109.9839999999967,-2.3,77.0,1.1,0.0,0.0,6,1,1,1,0.258819045102521,-0.9659258262890682,13.6161
140,2018-01-07 12:00:00,110.7519999999786,-1.2,69.0,0.6,0.0,0.0,6,1,1,1,1.2246467991473532e-16,-1.0,13.096899999999994
141,2018-01-07 13:00:00,109.0400000000081,-0.3,64.0,0.4,0.0,0.0,6,1,1,1,-0.2588190451025208,-0.9659258262890683,13.7984
142,2018-01-07 14:00:00,108.2719999999972,0.9,60.0,0.5,0.0,0.0,6,1,1,1,-0.4999999999999997,-0.8660254037844388,15.579999999999998
143,2018-01-07 15:00:00,113.7119999999995,2.0,56.0,0.6,0.0,0.0,6,1,1,1,-0.7071067811865471,-0.7071067811865479,17.498400000000004
144,2018-01-07 16:00:00,125.4560000000056,2.2,56.0,1.1,0.0,0.0,6,1,1,1,-0.8660254037844385,-0.5000000000000004,17.858400000000003
145,2018-01-07 17:00:00,127.1039999999921,2.0,57.0,1.0,0.0,0.0,6,1,1,1,-0.9659258262890683,-0.25881904510252063,17.48409999999999
146,2018-01-07 18:00:00,117.5200000000186,1.7,58.0,1.0,0.0,0.0,6,1,1,1,-1.0,-1.8369701987210297e-16,16.949599999999997
147,2018-01-07 19:00:00,120.5760000000009,1.6,59.0,0.9,0.0,0.0,6,1,1,1,-0.9659258262890684,0.2588190451025203,16.7949
148,2018-01-07 20:00:00,125.9679999999935,1.5,59.0,1.1,0.0,0.0,6,1,1,1,-0.8660254037844386,0.5000000000000001,16.614899999999995
149,2018-01-07 21:00:00,127.2000000000116,1.4,61.0,0.5,0.0,0.0,6,1,1,1,-0.7071067811865477,0.7071067811865474,16.5449
150,2018-01-07 22:00:00,115.8559999999998,1.5,60.0,0.4,0.0,0.0,6,1,1,1,-0.5000000000000004,0.8660254037844384,16.659999999999997
151,2018-01-07 23:00:00,123.2799999999988,1.4,64.0,0.2,0.0,0.0,6,1,1,1,-0.25881904510252157,0.9659258262890681,16.8584
152,2018-01-08 00:00:00,122.9759999999951,1.4,63.0,0.8,0.0,0.0,0,1,2,0,0.0,1.0,16.734099999999998
153,2018-01-08 02:00:00,117.9519999999902,1.6,62.0,0.2,0.0,0.0,0,1,2,0,0.49999999999999994,0.8660254037844387,16.989599999999996
154,2018-01-08 03:00:00,116.4960000000137,1.6,62.0,0.1,0.0,0.0,0,1,2,0,0.7071067811865476,0.7071067811865476,16.989599999999996
155,2018-01-08 05:00:00,107.2799999999988,1.6,68.0,0.9,0.0,0.0,0,1,2,0,0.9659258262890683,0.25881904510252074,17.913600000000002
156,2018-01-08 06:00:00,107.6320000000123,1.4,67.0,0.8,0.0,0.0,0,1,2,0,1.0,6.123233995736766e-17,17.350099999999998
157,2018-01-08 07:00:00,109.2319999999891,1.6,65.0,0.4,0.0,0.0,0,1,2,0,0.9659258262890683,-0.25881904510252063,17.362499999999997
158,2018-01-08 08:00:00,107.8559999999998,0.8,79.0,0.3,0.0,0.0,0,1,2,0,0.8660254037844387,-0.4999999999999998,20.0189
159,2018-01-08 09:00:00,104.3360000000102,0.3,90.0,0.2,0.0,0.9,0,1,2,0,0.7071067811865476,-0.7071067811865475,25.060000000000002
160,2018-01-08 10:00:00,106.7360000000044,0.5,93.0,0.1,0.0,0.0,0,1,2,0,0.49999999999999994,-0.8660254037844387,27.456100000000003
161,2018-01-08 11:00:00,111.1840000000084,1.1,90.0,0.2,0.0,0.0,0,1,2,0,0.258819045102521,-0.9659258262890682,26.5
162,2018-01-08 13:00:00,115.5840000000026,1.9,88.0,0.9,0.0,0.0,0,1,2,0,-0.2588190451025208,-0.9659258262890683,26.6816
163,2018-01-08 14:00:00,132.2880000000005,2.2,90.0,1.3,0.0,0.0,0,1,2,0,-0.4999999999999997,-0.8660254037844388,28.48
164,2018-01-08 15:00:00,131.0879999999888,2.5,90.0,0.8,0.0,0.0,0,1,2,0,-0.7071067811865471,-0.7071067811865479,29.020000000000003
165,2018-01-08 16:00:00,139.551999999996,2.6,88.0,2.4,0.0,0.0,0,1,2,0,-0.8660254037844385,-0.5000000000000004,27.9416
166,2018-01-08 18:00:00,153.5039999999863,2.1,87.0,1.5,0.0,0.0,0,1,2,0,-1.0,-1.8369701987210297e-16,26.4421
167,2018-01-08 19:00:00,145.4720000000088,2.0,87.0,2.0,0.0,0.0,0,1,2,0,-0.9659258262890684,0.2588190451025203,26.262099999999997
168,2018-01-08 20:00:00,147.6320000000123,1.6,91.0,1.4,0.0,0.0,0,1,2,0,-0.8660254037844386,0.5000000000000001,28.0589
169,2018-01-08 21:00:00,144.7999999999884,2.0,90.0,1.8,0.0,0.1,0,1,2,0,-0.7071067811865477,0.7071067811865474,28.12
170,2018-01-08 22:00:00,142.5279999999912,1.9,79.0,2.2,0.0,0.0,0,1,2,0,-0.5000000000000004,0.8660254037844384,21.9989
171,2018-01-08 23:00:00,138.9280000000144,1.3,81.0,2.4,0.0,0.0,0,1,2,0,-0.25881904510252157,0.9659258262890681,21.8209
172,2018-01-09 00:00:00,128.7999999999884,-0.1,91.0,3.8,0.0,1.3,1,1,2,0,0.0,1.0,24.998900000000003
173,2018-01-09 01:00:00,131.5679999999993,-0.6,91.0,3.1,0.0,0.0,1,1,2,0,0.25881904510252074,0.9659258262890683,24.0989
174,2018-01-09 02:00:00,124.7680000000109,-1.0,83.0,4.1,0.0,0.0,1,1,2,0,0.49999999999999994,0.8660254037844387,18.662099999999995
175,2018-01-09 03:00:00,116.3040000000037,-1.3,80.0,2.5,0.0,0.4,1,1,2,0,0.7071067811865476,0.7071067811865476,16.68
176,2018-01-09 04:00:00,111.1520000000019,-1.8,90.0,2.3,0.0,0.0,1,1,2,0,0.8660254037844386,0.5000000000000001,21.28
177,2018-01-09 05:00:00,100.3999999999942,-2.0,85.0,2.8,0.0,0.0,1,1,2,0,0.9659258262890683,0.25881904510252074,17.9225
178,2018-01-09 06:00:00,102.5439999999944,-2.4,88.0,3.5,0.0,0.8,1,1,2,0,1.0,6.123233995736766e-17,18.9416
179,2018-01-09 07:00:00,132.5599999999977,-3.4,80.0,3.2,0.0,0.0,1,1,2,0,0.9659258262890683,-0.25881904510252063,12.900000000000002
180,2018-01-09 08:00:00,212.4800000000105,-3.5,80.0,2.5,0.0,0.0,1,1,2,0,0.8660254037844387,-0.4999999999999998,12.720000000000002
181,2018-01-09 09:00:00,222.7680000000109,-2.7,75.0,1.7,0.5,0.0,1,1,2,0,0.7071067811865476,-0.7071067811865475,12.1525
182,2018-01-09 10:00:00,241.7759999999835,-1.7,68.0,3.0,0.9,0.0,1,1,2,0,0.49999999999999994,-0.8660254037844387,11.973600000000001
184,2018-01-09 12:00:00,246.3839999999909,-0.8,74.0,1.3,0.0,0.0,1,1,2,0,1.2246467991473532e-16,-1.0,15.230399999999996
189,2018-01-09 17:00:00,203.5039999999863,-0.5,71.0,2.2,0.0,0.0,1,1,2,0,-0.9659258262890683,-0.25881904510252063,14.8629
190,2018-01-09 18:00:00,145.7920000000158,-1.2,74.0,1.2,0.0,0.0,1,1,2,0,-1.0,-1.8369701987210297e-16,14.510399999999997
191,2018-01-09 19:00:00,241.2159999999858,-2.0,76.0,1.0,0.0,0.0,1,1,2,0,-0.9659258262890684,0.2588190451025203,13.774399999999996
192,2018-01-09 21:00:00,235.1040000000212,-2.2,87.0,1.3,0.0,0.0,1,1,2,0,-0.7071067811865477,0.7071067811865474,18.702099999999998
193,2018-01-09 22:00:00,235.5679999999993,-2.1,90.0,2.4,0.0,0.0,1,1,2,0,-0.5000000000000004,0.8660254037844384,20.740000000000002
194,2018-01-09 23:00:00,211.2319999999891,-2.2,94.0,1.2,0.0,0.0,1,1,2,0,-0.25881904510252157,0.9659258262890681,23.314399999999996
195,2018-01-10 00:00:00,116.7840000000142,-1.7,95.0,0.4,0.0,1.0,2,1,2,0,0.0,1.0,24.952499999999993
196,2018-01-10 02:00:00,100.1119999999937,-1.5,94.0,0.6,0.0,0.0,2,1,2,0,0.49999999999999994,0.8660254037844387,24.574399999999997
197,2018-01-10 03:00:00,91.12000000002445,-1.9,93.0,1.2,0.0,2.0,2,1,2,0,0.7071067811865476,0.7071067811865476,23.136100000000003
198,2018-01-10 04:00:00,88.59199999997509,-3.5,86.0,2.2,0.0,0.0,2,1,2,0,0.8660254037844386,0.5000000000000001,15.782399999999999
199,2018-01-10 07:00:00,89.80799999998999,-5.7,84.0,0.9,0.0,0.0,2,1,2,0,0.9659258262890683,-0.25881904510252063,10.722399999999993
200,2018-01-10 08:00:00,186.2240000000165,-7.0,85.0,1.0,0.0,0.0,2,1,2,0,0.8660254037844387,-0.4999999999999998,8.9225
201,2018-01-10 09:00:00,210.0319999999774,-5.9,76.0,0.7,0.2,0.0,2,1,2,0,0.7071067811865476,-0.7071067811865475,6.754399999999997
202,2018-01-10 10:00:00,234.9120000000112,-4.4,60.0,0.5,0.7,0.0,2,1,2,0,0.49999999999999994,-0.8660254037844387,6.039999999999996
203,2018-01-10 11:00:00,242.3360000000102,-3.3,53.0,1.6,1.0,0.0,2,1,2,0,0.258819045102521,-0.9659258262890682,8.1201
